keyword;id;identifier;language_ISO;topics_level_1;topics_level_2;LGBTIQ_keywords;sentiment;translation
equality;28;ZA6055;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_05 Equality, inequality and social exclusion;0;1;
family life and marriage;28;ZA6055;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_07 Family life and marriage;0;1;
gender and gender roles;28;ZA6055;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_08 Gender and gender roles;0;1;
inequality and social exclusion;28;ZA6055;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_05 Equality, inequality and social exclusion;0;0;
reproductive health;28;ZA6055;eng;04 HEALTH;04_09 Reproductive health;0;1;
lgbt;29;easy-dataset:161559;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_09 Minorities;1;1;
lhbt;29;easy-dataset:161559;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_09 Minorities;1;;lgbt
minority stress;29;easy-dataset:161559;eng;04 HEALTH;04_03 General health and well-being;0;0;
same-sex couples;29;easy-dataset:161559;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_07 Family life and marriage;1;1;
covid-19;30;easy-dataset:204554;eng;04 HEALTH;04_11 Specific diseases, disorders and medical conditions;0;1;
focus group discussion;30;easy-dataset:204554;eng;13 SCIENCE AND TECHNOLOGY;13_55 Other (Term introduced by authors);0;1;
hijra;30;easy-dataset:204554;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_09 Minorities;1;1;
mental and health care;30;easy-dataset:204554;eng;04 HEALTH;04_05 Medication and treatment;0;1;
social problems;30;easy-dataset:204554;eng;16 SOCIETY AND CULTURE;16_06 Social behaviour and attitudes;0;0;
transgender;30;easy-dataset:204554;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_08 Gender and gender roles;1;1;
biseksuelen;31;easy-dataset:120965;nld;14 SOCIAL STRATIFICATION AND GROUPINGS;14_09 Minorities;1;;bisexuals
homo-emancipatie;31;easy-dataset:120965;nld;16 SOCIETY AND CULTURE;16_07 Social change;1;;gay liberation
homoseksualiteit;31;easy-dataset:120965;nld;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;;homosexuality
homoseksuele mannen;31;easy-dataset:120965;nld;14 SOCIAL STRATIFICATION AND GROUPINGS;14_09 Minorities;1;;homosexual men
lesbische vrouwen;31;easy-dataset:120965;nld;14 SOCIAL STRATIFICATION AND GROUPINGS;14_09 Minorities;1;;lesbian women
transgenders;31;easy-dataset:120965;nld;14 SOCIAL STRATIFICATION AND GROUPINGS;14_09 Minorities;1;;transgender people
acceptatie;32;easy-dataset:128175;nld;14 SOCIAL STRATIFICATION AND GROUPINGS;14_05 Equality, inequality and social exclusion;0;;acceptance
biseksueel;32;easy-dataset:128175;nld;14 SOCIAL STRATIFICATION AND GROUPINGS;14_09 Minorities;1;;bisexual
discriminatie;32;easy-dataset:128175;nld;14 SOCIAL STRATIFICATION AND GROUPINGS;14_05 Equality, inequality and social exclusion;0;;discrimination
homo;32;easy-dataset:128175;nld;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;;gay
homo-emancipatie;32;easy-dataset:128175;nld;16 SOCIETY AND CULTURE;16_07 Social change;1;;gay liberation
homo-negativiteit;32;easy-dataset:128175;nld;14 SOCIAL STRATIFICATION AND GROUPINGS;14_05 Equality, inequality and social exclusion;1;;homonegativity
homoseksualiteit;32;easy-dataset:128175;nld;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;;homosexuality
homoseksueel;32;easy-dataset:128175;nld;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;;homosexual
lesbisch;32;easy-dataset:128175;nld;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;;lesbian
seksuele minderheden;32;easy-dataset:128175;nld;14 SOCIAL STRATIFICATION AND GROUPINGS;14_09 Minorities;1;;sexual minorities
seksuele voorkeur;32;easy-dataset:128175;nld;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);0;;sexual orientation
coming-out;32;easy-dataset:128175;eng;16 SOCIETY AND CULTURE;16_06 Social behaviour and attitudes;1;1;
transgender;32;easy-dataset:128175;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_08 Gender and gender roles;1;1;
acceptatie;33;easy-dataset:127610;nld;14 SOCIAL STRATIFICATION AND GROUPINGS;14_05 Equality, inequality and social exclusion;0;;acceptance
coming-out;33;easy-dataset:127610;nld;16 SOCIETY AND CULTURE;16_06 Social behaviour and attitudes;1;;coming-out
discriminatie;33;easy-dataset:127610;nld;14 SOCIAL STRATIFICATION AND GROUPINGS;14_05 Equality, inequality and social exclusion;0;;discrimination
homo;33;easy-dataset:127610;nld;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;;gay
homo-emancipatie;33;easy-dataset:127610;nld;16 SOCIETY AND CULTURE;16_07 Social change;1;;gay liberation
homo-negativiteit;33;easy-dataset:127610;nld;14 SOCIAL STRATIFICATION AND GROUPINGS;14_05 Equality, inequality and social exclusion;1;;homonegativity
homoseksualiteit;33;easy-dataset:127610;nld;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;;homosexuality
homoseksueel;33;easy-dataset:127610;nld;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;;homosexual
lesbisch;33;easy-dataset:127610;nld;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;;lesbian
seksuele minderheden;33;easy-dataset:127610;nld;14 SOCIAL STRATIFICATION AND GROUPINGS;14_09 Minorities;1;;sexual minorities
seksuele voorkeur;33;easy-dataset:127610;nld;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);0;;sexual orientation
transgender;33;easy-dataset:127610;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_08 Gender and gender roles;1;1;
concentratiekamp;34;easy-dataset:41712;nld;05 HISTORY;05_01 Holocaust (Term introduced by authors);0;;concentration camp
joodse homoseksueel;34;easy-dataset:41712;nld;14 SOCIAL STRATIFICATION AND GROUPINGS;14_09 Minorities;1;;jewish homosexual
keizersgracht;34;easy-dataset:41712;nld;19 OTHER;;0;;proper name
nsb;34;easy-dataset:41712;nld;19 OTHER;;0;1;
velserbeek;34;easy-dataset:41712;nld;19 OTHER;;0;;proper name
vonk;34;easy-dataset:41712;nld;19 OTHER;;0;1;
welzheim;34;easy-dataset:41712;nld;19 OTHER;;0;;proper name
wÅrttemberg;34;easy-dataset:41712;nld;19 OTHER;;0;;proper name
communist;34;easy-dataset:41712;eng;11 POLITICS;11_07 Political ideology;0;1;
oral history;34;easy-dataset:41712;eng;05 HISTORY;05_55 Other (Term introduced by authors);0;1;
hoerenjongen;35;easy-dataset:41713;nld;07 LABOUR AND EMPLOYMENT;07_02 Employment;0;;male prositute
klapperlopen;35;easy-dataset:41713;nld;19 OTHER;;0;1;
maassluis;35;easy-dataset:41713;nld;19 OTHER;;0;1;
platluizen;35;easy-dataset:41713;nld;04 HEALTH;04_11 Specific diseases, disorders and medical conditions;0;;flatlice
rotterdam;35;easy-dataset:41713;nld;19 OTHER;;0;;proper name
steigerbar;35;easy-dataset:41713;nld;19 OTHER;;0;;proper name
oral history;35;easy-dataset:41713;eng;05 HISTORY;05_55 Other (Term introduced by authors);0;1;
bochum;36;easy-dataset:41714;nld;19 OTHER;;0;;proper name
bochumer verein;36;easy-dataset:41714;nld;19 OTHER;;0;;proper name
dessau;36;easy-dataset:41714;nld;19 OTHER;;0;;proper name
kamp amersfoort;36;easy-dataset:41714;nld;19 OTHER;;0;;proper name
mildensee;36;easy-dataset:41714;nld;19 OTHER;;0;;proper name
oral history;36;easy-dataset:41714;eng;05 HISTORY;05_55 Other (Term introduced by authors);0;1;
amersfoort;37;easy-dataset:41715;nld;19 OTHER;;0;;proper name
apotheek;37;easy-dataset:41715;nld;04 HEALTH;04_04 Health care services and policies;0;;pharmacy
arbeidsinzet;37;easy-dataset:41715;nld;07 LABOUR AND EMPLOYMENT;07_07 Working conditions;0;;labor commitment
bombardement rotterdam;37;easy-dataset:41715;nld;11 POLITICS;11_01 Conflict, security and peace;0;;Rotterdam bombing
broeder bernardus;37;easy-dataset:41715;nld;19 OTHER;;0;;proper name
garderen;37;easy-dataset:41715;nld;08 LAW, CRIME AND LEGAL SYSTEMS;08_01 Crime and law enforcement;0;;guard
kostschool;37;easy-dataset:41715;nld;03 EDUCATION;03_01 Compulsory and pre-school education;0;;boarding school
putten;37;easy-dataset:41715;nld;19 OTHER;;0;1;
razzia;37;easy-dataset:41715;nld;08 LAW, CRIME AND LEGAL SYSTEMS;08_01 Crime and law enforcement;0;;raid
spangen;37;easy-dataset:41715;nld;19 OTHER;;0;1;
oral history;37;easy-dataset:41715;eng;05 HISTORY;05_55 Other (Term introduced by authors);0;1;
anna may wong;38;easy-dataset:41716;nld;19 OTHER;;0;;proper name
anna paulownastraat;38;easy-dataset:41716;nld;19 OTHER;;0;;proper name
bioscoop;38;easy-dataset:41716;nld;16 SOCIETY AND CULTURE;16_04 Leisure, tourism and sport;0;;cinema
buitenhof;38;easy-dataset:41716;nld;19 OTHER;;0;1;
cafÇ nol;38;easy-dataset:41716;nld;19 OTHER;;0;;proper name
cineac;38;easy-dataset:41716;nld;19 OTHER;;0;1;
hotel central;38;easy-dataset:41716;nld;19 OTHER;;0;;proper name
nieuweschoolstraat;38;easy-dataset:41716;nld;19 OTHER;;0;;proper name
obrechtstraat;38;easy-dataset:41716;nld;19 OTHER;;0;;proper name
palingkoning;38;easy-dataset:41716;nld;19 OTHER;;0;;proper name
poeierdozen;38;easy-dataset:41716;nld;19 OTHER;;0;1;
pop en do;38;easy-dataset:41716;nld;19 OTHER;;0;;proper name
sauna scheers;38;easy-dataset:41716;nld;19 OTHER;;0;;proper name
triumph;38;easy-dataset:41716;nld;19 OTHER;;0;1;
urinoir;38;easy-dataset:41716;nld;19 OTHER;;0;;urinal
zarah leander;38;easy-dataset:41716;nld;19 OTHER;;0;;proper name
oral history;38;easy-dataset:41716;eng;05 HISTORY;05_55 Other (Term introduced by authors);0;1;
atlantikwall;39;easy-dataset:41717;nld;19 OTHER;;0;;proper name
gortstraat;39;easy-dataset:41717;nld;19 OTHER;;0;;proper name
juffermansstraat;39;easy-dataset:41717;nld;19 OTHER;;0;;proper name
kaalgeschoren;39;easy-dataset:41717;nld;05 HISTORY;05_01 Holocaust (Term introduced by authors);0;;shaved
kraft-ebing;39;easy-dataset:41717;nld;19 OTHER;;0;;proper name
kristalnacht;39;easy-dataset:41717;nld;05 HISTORY;05_01 Holocaust (Term introduced by authors);0;;Reichspogrom Night
max beckman;39;easy-dataset:41717;nld;19 OTHER;;0;;proper name
noorwijk aan zee;39;easy-dataset:41717;nld;19 OTHER;;0;;proper name
oegstgeest;39;easy-dataset:41717;nld;19 OTHER;;0;;proper name
pop en do;39;easy-dataset:41717;nld;19 OTHER;;0;;proper name
prof carp;39;easy-dataset:41717;nld;19 OTHER;;0;;proper name
querido;39;easy-dataset:41717;nld;19 OTHER;;0;;proper name
radcliffe hall;39;easy-dataset:41717;nld;19 OTHER;;0;;proper name
oral history;39;easy-dataset:41717;eng;05 HISTORY;05_55 Other (Term introduced by authors);0;1;
ab de snoo;40;easy-dataset:41718;nld;19 OTHER;;0;;proper name
adolphe engers;40;easy-dataset:41718;nld;19 OTHER;;0;;proper name
alphons baron de vos van steenwijk;40;easy-dataset:41718;nld;19 OTHER;;0;;proper name
baron charles ijssel de schepper;40;easy-dataset:41718;nld;19 OTHER;;0;;proper name
bram rouville de meux;40;easy-dataset:41718;nld;19 OTHER;;0;;proper name
cees konijn;40;easy-dataset:41718;nld;19 OTHER;;0;;proper name
cor ferwerda;40;easy-dataset:41718;nld;19 OTHER;;0;;proper name
eddy post;40;easy-dataset:41718;nld;19 OTHER;;0;;proper name
henk vermeulen;40;easy-dataset:41718;nld;19 OTHER;;0;;proper name
jacob hiegentlich;40;easy-dataset:41718;nld;19 OTHER;;0;;proper name
l a ries;40;easy-dataset:41718;nld;19 OTHER;;0;;proper name
max cohen;40;easy-dataset:41718;nld;19 OTHER;;0;;proper name
ocker repelaer;40;easy-dataset:41718;nld;19 OTHER;;0;;proper name
peter van anrooij;40;easy-dataset:41718;nld;19 OTHER;;0;;proper name
toni toso;40;easy-dataset:41718;nld;19 OTHER;;0;;proper name
willy fruin;40;easy-dataset:41718;nld;19 OTHER;;0;;proper name
wim duparc;40;easy-dataset:41718;nld;19 OTHER;;0;;proper name
wim van der meer.;40;easy-dataset:41718;nld;19 OTHER;;0;;proper name
oral history;40;easy-dataset:41718;eng;05 HISTORY;05_55 Other (Term introduced by authors);0;1;
amalia;41;easy-dataset:41719;nld;19 OTHER;;0;;proper name
arbeidsinzet;41;easy-dataset:41719;nld;07 LABOUR AND EMPLOYMENT;07_07 Working conditions;0;;labor commitment
berlijn;41;easy-dataset:41719;nld;19 OTHER;;0;;proper name
bondwerker;41;easy-dataset:41719;nld;07 LABOUR AND EMPLOYMENT;07_02 Employment;0;;union worker
bouber gezelschap;41;easy-dataset:41719;nld;19 OTHER;;0;;proper name
clothilde;41;easy-dataset:41719;nld;19 OTHER;;0;;proper name
felix van kleef;41;easy-dataset:41719;nld;19 OTHER;;0;;proper name
ferry offerman;41;easy-dataset:41719;nld;19 OTHER;;0;;proper name
fred mobilie;41;easy-dataset:41719;nld;19 OTHER;;0;;proper name
gerrie verbruggen;41;easy-dataset:41719;nld;19 OTHER;;0;;proper name
haring arie;41;easy-dataset:41719;nld;19 OTHER;;0;;proper name
heck's;41;easy-dataset:41719;nld;19 OTHER;;0;;proper name
heiligeweg zwembad;41;easy-dataset:41719;nld;19 OTHER;;0;;proper name
jackie moscou;41;easy-dataset:41719;nld;19 OTHER;;0;;proper name
jan lap;41;easy-dataset:41719;nld;19 OTHER;;0;;proper name
joop en rien zalmstra;41;easy-dataset:41719;nld;19 OTHER;;0;;proper name
kuchel;41;easy-dataset:41719;nld;04 HEALTH;"04_10 Signs and symptoms; pathological conditions";0;;cough
mooie bennie;41;easy-dataset:41719;nld;19 OTHER;;0;;proper name
mooie hennie;41;easy-dataset:41719;nld;19 OTHER;;0;;proper name
mooie lowietje;41;easy-dataset:41719;nld;19 OTHER;;0;;proper name
otto langer;41;easy-dataset:41719;nld;19 OTHER;;0;;proper name
peter de boer;41;easy-dataset:41719;nld;19 OTHER;;0;;proper name
peter voorn;41;easy-dataset:41719;nld;19 OTHER;;0;;proper name
robert van messel;41;easy-dataset:41719;nld;19 OTHER;;0;;proper name
tante mietje van kleef;41;easy-dataset:41719;nld;19 OTHER;;0;;proper name
zwemmeester lou charitÇ;41;easy-dataset:41719;nld;19 OTHER;;0;;proper name
oral history;41;easy-dataset:41719;eng;05 HISTORY;05_55 Other (Term introduced by authors);0;1;
bezuidenhout;42;easy-dataset:41720;nld;19 OTHER;;0;;proper name
buitenhof;42;easy-dataset:41720;nld;19 OTHER;;0;1;
laan van meerdervoort;42;easy-dataset:41720;nld;19 OTHER;;0;;proper name
scheveningsche bos;42;easy-dataset:41720;nld;19 OTHER;;0;;proper name
spaarne;42;easy-dataset:41720;nld;19 OTHER;;0;1;
urinoirs;42;easy-dataset:41720;nld;19 OTHER;;0;;urinals
oral history;42;easy-dataset:41720;eng;05 HISTORY;05_55 Other (Term introduced by authors);0;1;
beukenhorst;43;easy-dataset:41721;nld;19 OTHER;;0;;proper name
forty-four;43;easy-dataset:41721;nld;19 OTHER;;0;;proper name
haagsche bos;43;easy-dataset:41721;nld;19 OTHER;;0;;proper name
heck's;43;easy-dataset:41721;nld;19 OTHER;;0;;proper name
kruisvaarders van st. jan;43;easy-dataset:41721;nld;19 OTHER;;0;;proper name
oegstgeest;43;easy-dataset:41721;nld;19 OTHER;;0;;proper name
prinses mariannelaan;43;easy-dataset:41721;nld;19 OTHER;;0;;proper name
prinsesseschouwburg;43;easy-dataset:41721;nld;19 OTHER;;0;;proper name
sauna scheers;43;easy-dataset:41721;nld;19 OTHER;;0;;proper name
scheveningsche bosjes;43;easy-dataset:41721;nld;19 OTHER;;0;;proper name
skala;43;easy-dataset:41721;nld;19 OTHER;;0;1;
soir de paris;43;easy-dataset:41721;nld;19 OTHER;;0;;proper name
spyker;43;easy-dataset:41721;nld;19 OTHER;;0;;proper name
triumph;43;easy-dataset:41721;nld;19 OTHER;;0;1;
voorburg;43;easy-dataset:41721;nld;19 OTHER;;0;;proper name
oral history;43;easy-dataset:41721;eng;05 HISTORY;05_55 Other (Term introduced by authors);0;1;
homo jongereren;44;easy-dataset:44253;nld;14 SOCIAL STRATIFICATION AND GROUPINGS;14_09 Minorities;1;;gay youth
homosexualiteit;44;easy-dataset:44253;nld;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;;homosexuality
seksuele voorkeur;44;easy-dataset:44253;nld;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);0;;sexual orientation
coming-out;44;easy-dataset:44253;eng;16 SOCIETY AND CULTURE;16_06 Social behaviour and attitudes;1;;coming-out
alcohol and smoking;45;10.18712/NSD-NSD0715-V3;eng;04 HEALTH;04_02 Drug abuse, alcohol and smoking;0;1;
general health and well-being;45;10.18712/NSD-NSD0715-V3;eng;04 HEALTH;04_03 General health and well-being;0;1;
minorities;45;10.18712/NSD-NSD0715-V3;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_09 Minorities;0;1;
social behaviour and attitudes;45;10.18712/NSD-NSD0715-V3;eng;16 SOCIETY AND CULTURE;16_06 Social behaviour and attitudes;0;1;
social conditions and indicators;45;10.18712/NSD-NSD0715-V3;eng;16 SOCIETY AND CULTURE;16_08 Social conditions and indicators;0;1;
discrimination on the basis of sexual orientation;46;10.18712/NSD-NSD3028-V1;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_05 Equality, inequality and social exclusion;0;0;
gender role;46;10.18712/NSD-NSD3028-V1;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_08 Gender and gender roles;0;1;
sexual orientation;46;10.18712/NSD-NSD3028-V1;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);0;1;
social conditions and indicators;47;10.18712/NSD-NSD2610-V3;eng;16 SOCIETY AND CULTURE;16_08 Social conditions and indicators;0;1;
society and culture;47;10.18712/NSD-NSD2610-V3;eng;16 SOCIETY AND CULTURE;16_55 Other (Term introduced by authors);0;1;
everyday life;48;VZGL03;eng;16 SOCIETY AND CULTURE;16_06 Social behaviour and attitudes;0;1;
family closet;48;VZGL03;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_07 Family life and marriage;0;1;
family roles;48;VZGL03;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_07 Family life and marriage;0;1;
female homosexuality;48;VZGL03;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;1;
gay;48;VZGL03;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;1;
homosexuality;48;VZGL03;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;1;
male homosexuality;48;VZGL03;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;1;
partnership;48;VZGL03;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_07 Family life and marriage;0;1;
partnerships (personal);48;VZGL03;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_07 Family life and marriage;0;1;
transparent closet;48;VZGL03;eng;16 SOCIETY AND CULTURE;16_06 Social behaviour and attitudes;0;1;Glass closet
violence;48;VZGL03;eng;16 SOCIETY AND CULTURE;16_06 Social behaviour and attitudes;0;0;
india;49;SN-852447;eng;11 POLITICS;11_02 Countries and regions (Term introduced by authors);0;1;
bisexuality;50;SN-6009;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;1;
children;50;SN-6009;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_02 Children;0;1;
civil partnerships;50;SN-6009;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_07 Family life and marriage;1;1;
cohabitation;50;SN-6009;eng;06 HOUSING AND LAND USE;06_01 Housing;0;1;
discrimination against homosexuals;50;SN-6009;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_05 Equality, inequality and social exclusion;1;0;
economic activity;50;SN-6009;eng;07 LABOUR AND EMPLOYMENT;07_02 Employment;0;1;
educational certificates;50;SN-6009;eng;03 EDUCATION;03_55 Other (Term introduced by authors);0;1;
ethnic groups;50;SN-6009;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_06 Ethnic groups (Term introduced by authors);0;1;
female homosexuality;50;SN-6009;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;1;
gender;50;SN-6009;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_08 Gender and gender roles;0;1;
home ownership;50;SN-6009;eng;02 ECONOMICS;02_05 Income, property and investment/saving;0;1;
homosexuality;50;SN-6009;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;1;
household budgets;50;SN-6009;eng;02 ECONOMICS;02_05 Income, property and investment/saving;0;1;
household income;50;SN-6009;eng;02 ECONOMICS;02_05 Income, property and investment/saving;0;1;
income;50;SN-6009;eng;02 ECONOMICS;02_05 Income, property and investment/saving;0;1;
interpersonal relations;50;SN-6009;eng;16 SOCIETY AND CULTURE;16_06 Social behaviour and attitudes;0;1;
male homosexuality;50;SN-6009;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;1;
marriage;50;SN-6009;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_07 Family life and marriage;0;1;
partnerships (personal);50;SN-6009;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_07 Family life and marriage;0;1;
part-time employment;50;SN-6009;eng;07 LABOUR AND EMPLOYMENT;07_02 Employment;0;1;
personal finance management;50;SN-6009;eng;02 ECONOMICS;02_05 Income, property and investment/saving;0;1;
religious affiliation;50;SN-6009;eng;16 SOCIETY AND CULTURE;16_05 Religion and values;0;1;
same-sex relationships;50;SN-6009;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;1;
sexuality;50;SN-6009;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);0;1;
domestic violence;51;SN-851303;eng;08 LAW, CRIME AND LEGAL SYSTEMS;08_01 Crime and law enforcement;0;0;
same-sex relationships;51;SN-851303;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;1;
health;52;SN-855322;eng;04 HEALTH;04_03 General health and well-being;0;1;
lgbtqi+;52;SN-855322;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_09 Minorities;1;1;
networking;52;SN-855322;eng;16 SOCIETY AND CULTURE;16_06 Social behaviour and attitudes;0;1;
discrimination against homosexuals;53;SN-7956;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_05 Equality, inequality and social exclusion;1;0;
everyday life;53;SN-7956;eng;16 SOCIETY AND CULTURE;16_06 Social behaviour and attitudes;0;1;
homosexuality;53;SN-7956;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;1;
same-sex relationships;53;SN-7956;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;1;
age;54;SN-6332;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_55 Other (Term introduced by authors);0;1;
aggressiveness;54;SN-6332;eng;16 SOCIETY AND CULTURE;16_06 Social behaviour and attitudes;0;0;
aids (disease);54;SN-6332;eng;04 HEALTH;04_11 Specific diseases, disorders and medical conditions;0;0;
alcohol use;54;SN-6332;eng;04 HEALTH;04_02 Drug abuse, alcohol and smoking;0;1;
bisexuality;54;SN-6332;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;1;
bullying;54;SN-6332;eng;16 SOCIETY AND CULTURE;16_06 Social behaviour and attitudes;0;1;
cohabitation;54;SN-6332;eng;06 HOUSING AND LAND USE;06_01 Housing;0;1;
cohabiting;54;SN-6332;eng;06 HOUSING AND LAND USE;06_01 Housing;0;1;
counselling;54;SN-6332;eng;04 HEALTH;04_04 Health care services and policies;0;1;
courtship;54;SN-6332;eng;16 SOCIETY AND CULTURE;16_06 Social behaviour and attitudes;0;1;
decision making;54;SN-6332;eng;16 SOCIETY AND CULTURE;16_06 Social behaviour and attitudes;0;1;
disabilities;54;SN-6332;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_09 Minorities;0;1;
domestic responsibilities;54;SN-6332;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_07 Family life and marriage;0;1;
domestic violence;54;SN-6332;eng;08 LAW, CRIME AND LEGAL SYSTEMS;08_01 Crime and law enforcement;0;0;
educational background;54;SN-6332;eng;03 EDUCATION;03_55 Other (Term introduced by authors);0;1;
emotional states;54;SN-6332;eng;04 HEALTH;04_03 General health and well-being;0;0;
ethnic groups;54;SN-6332;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_06 Ethnic groups (Term introduced by authors);0;1;
female homosexuality;54;SN-6332;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;1;
